#,Keyword,Project,Township,Location,BHK,Intent,Funnel,SEO_PPC,Priority,Status
92,"VTP Realty flats Pune customer reviews","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
93,"VTP Realty apartments Pune","VTP Group","Pune Master","Pune","All","Navigational","TOFU","SEO/PPC","P1","ACTIVE"
94,"VTP Realty apartments Pune 2026","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
95,"VTP Realty apartments Pune current","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
96,"VTP Realty apartments Pune latest","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
97,"VTP Realty apartments Pune new","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
98,"VTP Realty apartments Pune upcoming","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
99,"VTP Realty apartments Pune residential","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
100,"VTP Realty apartments Pune luxury","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
101,"VTP Realty apartments Pune premium","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
102,"VTP Realty apartments Pune affordable","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
103,"VTP Realty apartments Pune best","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
104,"VTP Realty apartments Pune top","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
105,"VTP Realty apartments Pune near me","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
106,"VTP Realty apartments Pune for sale","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
107,"VTP Realty apartments Pune investment","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
108,"VTP Realty apartments Pune direct developer","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
109,"VTP Realty apartments Pune official","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
110,"VTP Realty apartments Pune price list","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
111,"VTP Realty apartments Pune brochure PDF","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
112,"VTP Realty apartments Pune floor plan layout","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
113,"VTP Realty apartments Pune RERA verified","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
114,"VTP Realty apartments Pune possession date","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
115,"VTP Realty apartments Pune customer reviews","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
116,"VTP Realty homes Pune","VTP Group","Pune Master","Pune","All","Navigational","TOFU","SEO/PPC","P1","ACTIVE"
117,"VTP Realty homes Pune 2026","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
118,"VTP Realty homes Pune current","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
119,"VTP Realty homes Pune latest","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
120,"VTP Realty homes Pune new","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
121,"VTP Realty homes Pune upcoming","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
122,"VTP Realty homes Pune residential","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
123,"VTP Realty homes Pune luxury","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
124,"VTP Realty homes Pune premium","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
125,"VTP Realty homes Pune affordable","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
126,"VTP Realty homes Pune best","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
127,"VTP Realty homes Pune top","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
128,"VTP Realty homes Pune near me","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
129,"VTP Realty homes Pune for sale","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
130,"VTP Realty homes Pune investment","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
131,"VTP Realty homes Pune direct developer","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
132,"VTP Realty homes Pune official","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
133,"VTP Realty homes Pune price list","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
134,"VTP Realty homes Pune brochure PDF","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
135,"VTP Realty homes Pune floor plan layout","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
136,"VTP Realty homes Pune RERA verified","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
137,"VTP Realty homes Pune possession date","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
138,"VTP Realty homes Pune customer reviews","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
139,"VTP Realty residential projects Pune","VTP Group","Pune Master","Pune","All","Navigational","TOFU","SEO/PPC","P1","ACTIVE"
140,"VTP Realty residential projects Pune 2026","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
141,"VTP Realty residential projects Pune current","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
142,"VTP Realty residential projects Pune latest","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
143,"VTP Realty residential projects Pune new","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
144,"VTP Realty residential projects Pune upcoming","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
145,"VTP Realty residential projects Pune residential","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
146,"VTP Realty residential projects Pune luxury","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
147,"VTP Realty residential projects Pune premium","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
148,"VTP Realty residential projects Pune affordable","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
149,"VTP Realty residential projects Pune best","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
150,"VTP Realty residential projects Pune top","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
151,"VTP Realty residential projects Pune near me","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
152,"VTP Realty residential projects Pune for sale","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
153,"VTP Realty residential projects Pune investment","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
154,"VTP Realty residential projects Pune direct developer","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
155,"VTP Realty residential projects Pune official","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
156,"VTP Realty residential projects Pune price list","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
157,"VTP Realty residential projects Pune brochure PDF","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
158,"VTP Realty residential projects Pune floor plan layout","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
159,"VTP Realty residential projects Pune RERA verified","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
160,"VTP Realty residential projects Pune possession date","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
161,"VTP Realty residential projects Pune customer reviews","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
162,"VTP Realty new projects Pune","VTP Group","Pune Master","Pune","All","Navigational","TOFU","SEO/PPC","P1","ACTIVE"
163,"VTP Realty new projects Pune 2026","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
164,"VTP Realty new projects Pune current","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
165,"VTP Realty new projects Pune latest","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
166,"VTP Realty new projects Pune new","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
167,"VTP Realty new projects Pune upcoming","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
168,"VTP Realty new projects Pune residential","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
169,"VTP Realty new projects Pune luxury","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
170,"VTP Realty new projects Pune premium","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
171,"VTP Realty new projects Pune affordable","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
172,"VTP Realty new projects Pune best","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
173,"VTP Realty new projects Pune top","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
174,"VTP Realty new projects Pune near me","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
175,"VTP Realty new projects Pune for sale","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
176,"VTP Realty new projects Pune investment","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
177,"VTP Realty new projects Pune direct developer","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
178,"VTP Realty new projects Pune official","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
179,"VTP Realty new projects Pune price list","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
180,"VTP Realty new projects Pune brochure PDF","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
181,"VTP Realty new projects Pune floor plan layout","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
182,"VTP Realty new projects Pune RERA verified","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
183,"VTP Realty new projects Pune possession date","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
184,"VTP Realty new projects Pune customer reviews","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
185,"VTP Realty upcoming projects Pune","VTP Group","Pune Master","Pune","All","Navigational","TOFU","SEO/PPC","P1","ACTIVE"
186,"VTP Realty upcoming projects Pune 2026","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
187,"VTP Realty upcoming projects Pune current","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
188,"VTP Realty upcoming projects Pune latest","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
189,"VTP Realty upcoming projects Pune new","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
190,"VTP Realty upcoming projects Pune upcoming","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
191,"VTP Realty upcoming projects Pune residential","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
192,"VTP Realty upcoming projects Pune luxury","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
193,"VTP Realty upcoming projects Pune premium","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
194,"VTP Realty upcoming projects Pune affordable","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
195,"VTP Realty upcoming projects Pune best","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
196,"VTP Realty upcoming projects Pune top","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
197,"VTP Realty upcoming projects Pune near me","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
198,"VTP Realty upcoming projects Pune for sale","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
199,"VTP Realty upcoming projects Pune investment","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
200,"VTP Realty upcoming projects Pune direct developer","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
201,"VTP Realty upcoming projects Pune official","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
202,"VTP Realty upcoming projects Pune price list","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
203,"VTP Realty upcoming projects Pune brochure PDF","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
204,"VTP Realty upcoming projects Pune floor plan layout","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
205,"VTP Realty upcoming projects Pune RERA verified","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
206,"VTP Realty upcoming projects Pune possession date","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
207,"VTP Realty upcoming projects Pune customer reviews","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
208,"VTP Realty new launch Pune","VTP Group","Pune Master","Pune","All","Navigational","TOFU","SEO/PPC","P1","ACTIVE"
209,"VTP Realty new launch Pune 2026","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
210,"VTP Realty new launch Pune current","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
211,"VTP Realty new launch Pune latest","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
212,"VTP Realty new launch Pune new","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
